timestamp, input_file, master_file, added_count, total_after
11-08-2025 13:22:40,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2011 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 100260
11-08-2025 13:22:40,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2012 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 105830
11-08-2025 13:22:41,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2013 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 111400
11-08-2025 13:22:41,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2014 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 116970
11-08-2025 13:22:42,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2015 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 122540
11-08-2025 13:22:42,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2016 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 128110
11-08-2025 13:22:43,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2017 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 133680
11-08-2025 13:22:43,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2018 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 139250
11-08-2025 13:22:44,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2019 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 144820
11-08-2025 13:22:45,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2020 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 150390
11-08-2025 13:22:46,"E:/GitHubRepositories/renob-pythonSide/Raw data/adolescentes/feminino/adolescentes feminino 2021 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 155960
11-08-2025 13:23:59,"C:/Users/Matheus/Downloads/adultos_name/masculino/adulto masculino 2008 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 161530
11-08-2025 13:24:00,"C:/Users/Matheus/Downloads/adultos_name/masculino/adulto masculino 2009 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 167100
11-08-2025 13:24:00,"C:/Users/Matheus/Downloads/adultos_name/masculino/adulto masculino 2010 .csv","E:\GitHubRepositories\renob\update_data\Data\db_sisvan.csv", 5570, 172670
